CustomerID,InvoiceID,OrderDate,Amount
1051,6401,17/03/2023,1462.83
1092,6211,15/02/2023,797.05
1014,5857,09/06/2023,1634.5
1071,5229,21/03/2023,4262.72
1060,6856,06/11/2023,536.05
1020,6875,27/03/2023,4959.31
1082,5118,02/04/2023,2750.91
1086,6179,28/05/2023,4925.74
1074,5783,10/06/2023,4701.08
1074,6710,21/07/2023,2318.79
1087,5464,30/08/2023,1072.61
1099,5103,19/12/2023,907.94
1023,6627,02/01/2023,1275.95
1002,5697,13/08/2023,3579.65
1021,6995,16/10/2023,1437.45
1052,6818,21/08/2023,1772.98
1001,6525,18/03/2023,2299.02
1087,6716,26/04/2023,4574.84
1029,6705,03/06/2023,1028.03
1037,6722,13/04/2023,124.63
1001,5174,13/07/2023,394.47
1063,6757,15/06/2023,4533.36
1059,5744,25/12/2023,3272.83
1020,6697,31/03/2023,1437.9
1032,6444,23/06/2023,968.24
1075,6157,02/05/2023,1541.91
1057,6414,23/05/2023,662.5
1021,6759,16/04/2023,4713.51
1088,6524,01/11/2023,3942.61
1048,5664,26/12/2023,2365.72
1090,5032,13/11/2023,4338.32
1058,5054,03/05/2023,1322.35
1041,6977,09/01/2023,3613.89
1091,5518,19/09/2023,4295.05
1059,5755,14/03/2023,1848.17
1079,6848,25/12/2023,3811.58
1014,6661,11/08/2023,1545.85
1061,5011,10/02/2023,1564.4
1061,6551,23/07/2023,624.58
1046,5719,21/09/2023,2256.28
1061,5554,24/11/2023,3675.59
1050,5372,27/06/2023,4707.08
1054,5483,14/12/2023,3058.61
1063,5972,14/11/2023,4329.36
1002,6670,25/03/2023,4130.22
1050,6251,14/11/2023,949.38
1006,5622,21/04/2023,2480.51
1020,5306,08/09/2023,672.93
1072,5456,07/01/2023,3442.55
1038,5159,25/03/2023,4754.51
1017,5330,27/07/2023,771.74
1003,5775,10/11/2023,3696.03
1088,5224,22/01/2023,3197.97
1059,5982,03/01/2023,2959.66
1013,5728,07/05/2023,2011.59
1008,6527,24/10/2023,1840.15
1089,6479,07/07/2023,321.72
1052,6068,28/12/2023,1167.75
1001,6237,14/01/2023,174.37
1083,6082,12/01/2023,2948.94
1091,5643,28/03/2023,618.68
1059,5615,12/01/2023,4377.8
1070,5194,25/01/2023,2663.4
1043,6948,28/10/2023,3528.48
1007,5488,31/08/2023,2113.2
1046,5156,02/05/2023,2846.84
1034,5609,27/05/2023,4719.03
1077,6249,24/02/2023,505.4
1080,5411,26/08/2023,1344.3
1035,6228,22/12/2023,3921.94
1049,6102,22/06/2023,583.81
1003,6147,09/08/2023,470.74
1001,5470,29/04/2023,1871.55
1005,6963,05/11/2023,551.62
1053,6241,02/07/2023,2966.88
1003,5515,15/10/2023,1208.75
1053,6625,03/11/2023,4488.92
1092,6127,27/10/2023,3939.15
1062,5392,23/03/2023,3528.56
1017,5630,30/07/2023,3123.03
1089,6668,30/05/2023,4330.98
1043,6847,06/02/2023,1193
1033,5607,18/12/2023,4378.23
1073,5979,08/11/2023,3968.51
1061,5433,27/12/2023,3765.99
1099,6354,28/02/2023,2850.15
1013,6166,11/05/2023,1306.6
1094,6823,21/07/2023,2175.38
1047,5539,31/08/2023,3988.5
1014,5277,04/02/2023,255.71
1071,5232,03/04/2023,3932.05
1077,6552,26/07/2023,1276.35
1086,6594,19/12/2023,807.12
1061,6113,28/11/2023,666.94
1039,6515,01/11/2023,233.53
1084,6222,16/12/2023,2665.57
1079,5361,01/08/2023,1169.47
1081,6464,08/06/2023,4948.22
1052,5025,24/01/2023,2914.74
1023,6048,20/10/2023,775.64
1025,6417,04/01/2023,3474.94
1088,5506,08/08/2023,4498.94
1059,6324,30/12/2023,3751.38
1040,6362,20/01/2023,474.56
1028,5266,01/06/2023,4489.83
1014,5460,19/02/2023,3990.25
1044,6716,26/06/2023,875.69
1064,5455,06/04/2023,353.75
1088,6383,15/04/2023,2830.82
1070,6091,07/09/2023,864.58
1008,6006,27/04/2023,4189.5
1087,5862,20/12/2023,1855.84
1000,6435,16/08/2023,4573.17
1007,6994,07/03/2023,2871.87
1087,5490,01/12/2023,995.09
1062,6856,19/09/2023,784.03
1010,6072,22/10/2023,2924.71
1080,6710,31/08/2023,3833.23
1007,5563,05/07/2023,3929.38
1034,6125,03/09/2023,1451.21
1034,5215,05/05/2023,1100.81
1032,6461,25/09/2023,182.11
1004,6723,11/05/2023,3428.08
1040,6592,25/08/2023,475.18
1027,5558,18/01/2023,2161.73
1006,5158,09/02/2023,3048.24
1072,5488,21/01/2023,4691.83
1071,5685,13/08/2023,1627.83
1011,6265,21/12/2023,1323.88
1033,5793,09/10/2023,3305.38
1032,6776,08/01/2023,3134.27
1047,6905,10/04/2023,1727.34
1022,5004,28/08/2023,4647.7
1061,6619,28/03/2023,4239.83
1087,6843,25/10/2023,1197.51
1036,5360,14/01/2023,1271.8
1098,5458,30/11/2023,2610.27
1043,5247,02/01/2023,3890.5
1085,6589,20/10/2023,315.8
1090,6696,21/11/2023,3497.34
1034,5945,10/02/2023,3276.36
1064,5421,14/11/2023,1234.25
1098,6946,12/11/2023,3438.63
1046,6761,21/04/2023,4706.9
1077,5014,14/01/2023,329.25
1002,5735,19/08/2023,1666.3
1000,6596,25/03/2023,2247.07
1004,6145,10/05/2023,4506.38
1089,5276,19/08/2023,4815.08
1013,6581,22/11/2023,2276.16
1026,5452,25/05/2023,3775.14
1008,6413,11/12/2023,2705.14
1078,6317,28/01/2023,2735.14
1014,6597,07/03/2023,1462.69
1089,5597,12/06/2023,1163.09
1041,5445,17/08/2023,1511.23
